,,,,,,,,,,,,,,,,,,,,,,
,High_First_Time,,,High_Forth_Time,,,,Low_First_Time,,,Low_Forth_Time,,,,,,,,,,,
,Sodium_Alginate_Concentration_μg_mL,Absorbance,,Sodium_Alginate_Concentration_μg_mL,Absorbance,,,Sodium_Alginate_Concentration_μg_mL,Absorbance,,Sodium_Alginate_Concentration_μg_mL,Absorbance,,,,,,,,,,
,0,0.000,,0,0.001,,,0,0.001,,0,0.003,,,,,,,,,,
,10,0.045,,10,0.04,,,1,0.006,,1,0.008,,,,,,,,,,
,20,0.094,,20,0.079,,,2,0.009,,2,0.012,,,,,,,,,,
,40,0.195,,40,0.173,,,4,0.020,,4,0.026,,,,,,,,,,
,60,0.273,,60,0.304,,,6,0.025,,6,0.036,,,,,,,,,,
,100,0.532,,100,0.538,,,10,0.037,,10,0.054,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,High_Second_Time,,,High_Fifth_Time,,,,Low_Second_Time,,,Low_Average,,,,,,,,,,,
,Sodium_Alginate_Concentration_μg_mL,Absorbance,,Sodium_Alginate_Concentration_μg_mL,Absorbance,,,Sodium_Alginate_Concentration_μg_mL,Absorbance,,Sodium_Alginate_Concentration_μg_mL,Absorbance,,,,,,,,,,
,0,0.000,,0,0.000,,,0,0.000,,0,0.001,,,,,,,,,,
,10,0.052,,10,0.049,,,1,0.007,,1,0.001,,,,,,,,,,
,20,0.116,,20,0.092,,,2,0.012,,2,0.002,,,,,,,,,,
,40,0.219,,40,0.196,,,4,0.022,,4,0.002,,,,,,,,,,
,60,0.332,,60,0.309,,,6,0.035,,6,0.004,,,,,,,,,,
,100,0.605,,100,0.510,,,10,0.055,,10,0.007,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,High_Third_Time,,,High_Average,,,,Low_Third_Time,,,,,,,,,,,,,,
,Sodium_Alginate_Concentration_μg_mL,Absorbance,,Sodium_Alginate_Concentration_μg_mL,Absorbance,,,Sodium_Alginate_Concentration_μg_mL,Absorbance,,,,,,,,,,,,,
,0,0.000,,0,0.000,,,0,0.002,,,,,,,,,,,,,
,10,0.042,,10,0.004,,,1,0.007,,,,,,,,,,,,,
,20,0.090,,20,0.012,,,2,0.013,,,,,,,,,,,,,
,40,0.173,,40,0.017,,,4,0.024,,,,,,,,,,,,,
,60,0.293,,60,0.019,,,6,0.031,,,,,,,,,,,,,
,100,0.503,,100,0.036,,,10,0.047,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
